N, Dense, Sparse, Speedup, Val1, Val2
500, 1.06e-04, 1.31e-05, 8.114133, 75.000000, 75.000000 
500, 1.11e-04, 1.28e-05, 8.678424, 75.000000, 75.000000 
500, 1.11e-04, 1.36e-05, 8.188272, 75.000000, 75.000000 
1000, 2.57e-04, 1.41e-05, 18.261407, 75.000000, 75.000000 
1000, 2.57e-04, 1.38e-05, 18.629342, 75.000000, 75.000000 
1000, 2.60e-04, 1.46e-05, 17.805278, 75.000000, 75.000000 
2000, 5.82e-04, 1.49e-05, 38.975151, 75.000000, 75.000000 
2000, 5.62e-04, 1.56e-05, 36.031530, 75.000000, 75.000000 
2000, 5.68e-04, 1.51e-05, 37.726579, 75.000000, 75.000000 
4000, 1.17e-03, 1.48e-05, 79.301990, 75.000000, 75.000000 
4000, 1.17e-03, 1.51e-05, 77.552714, 75.000000, 75.000000 
4000, 1.18e-03, 1.45e-05, 81.196188, 75.000000, 75.000000 
6000, 2.00e-03, 1.49e-05, 134.445820, 75.000000, 75.000000 
6000, 2.00e-03, 1.46e-05, 136.461849, 75.000000, 75.000000 
6000, 2.01e-03, 1.47e-05, 136.784064, 75.000000, 75.000000 
8000, 3.02e-03, 1.47e-05, 204.785293, 75.000000, 75.000000 
8000, 2.99e-03, 1.50e-05, 198.804302, 75.000000, 75.000000 
8000, 2.99e-03, 1.51e-05, 197.813451, 75.000000, 75.000000 
10000, 5.38e-03, 1.55e-05, 346.373640, 75.000000, 75.000000 
10000, 5.35e-03, 1.51e-05, 354.361835, 75.000000, 75.000000 
10000, 5.37e-03, 1.53e-05, 352.257555, 75.000000, 75.000000 
20000, 1.80e-02, 1.65e-05, 1092.686634, 75.000000, 75.000000 
20000, 1.74e-02, 1.49e-05, 1171.745691, 75.000000, 75.000000 
20000, 1.74e-02, 1.58e-05, 1100.243613, 75.000000, 75.000000 
30000, 3.92e-02, 1.70e-05, 2310.400977, 75.000000, 75.000000 
30000, 3.91e-02, 1.76e-05, 2225.330889, 75.000000, 75.000000 
30000, 3.93e-02, 1.65e-05, 2387.365292, 75.000000, 75.000000 
40000, 1.12e-01, 1.82e-05, 6140.935887, 75.000000, 75.000000 
40000, 1.10e-01, 1.84e-05, 5948.318280, 75.000000, 75.000000 
40000, 1.13e-01, 1.85e-05, 6090.347010, 75.000000, 75.000000 
50000, 3.51e-01, 1.92e-05, 18269.256326, 75.000000, 75.000000 
50000, 3.58e-01, 1.95e-05, 18385.091073, 75.000000, 75.000000 
50000, 3.51e-01, 1.99e-05, 17607.479521, 75.000000, 75.000000 
60000, 7.05e-01, 2.21e-05, 31874.486507, 75.000000, 75.000000 
60000, 7.06e-01, 4.09e-05, 17271.910359, 75.000000, 75.000000 
60000, 7.01e-01, 4.21e-05, 16654.991904, 75.000000, 75.000000 
