N, Prob, K, t1, t2, t3, total_time, distance
500, 0.00000, 6,0.004660,0.001318, 0.007041, 0.013020,21.252000
500, 0.00000, 6,0.004654,0.001257, 0.007131, 0.013042,21.252000
500, 0.00000, 6,0.004665,0.001291, 0.007018, 0.012975,21.252000
1000, 0.00000, 6,0.004782,0.002572, 0.054637, 0.061992,42.084000
1000, 0.00000, 6,0.004789,0.002479, 0.054747, 0.062015,42.084000
1000, 0.00000, 6,0.004792,0.002472, 0.054751, 0.062015,42.084000
2000, 0.00000, 6,0.004802,0.214215, 0.224393, 0.443409,83.750500
2000, 0.00000, 6,0.004884,0.214225, 0.224352, 0.443460,83.750500
2000, 0.00000, 6,0.004853,0.214293, 0.224373, 0.443518,83.750500
2500, 0.00000, 6,0.004898,0.505442, 0.350417, 0.860756,104.583600
2500, 0.00000, 6,0.004883,0.505588, 0.350338, 0.860809,104.583600
2500, 0.00000, 6,0.004901,0.505276, 0.350435, 0.860611,104.583600
3000, 0.00000, 6,0.005052,0.968979, 0.502103, 1.476133,125.416667
3000, 0.00000, 6,0.005053,0.968551, 0.501861, 1.475465,125.416667
3000, 0.00000, 6,0.004916,0.968941, 0.502007, 1.475864,125.416667
3500, 0.00000, 6,0.005121,1.645884, 0.680709, 2.331714,146.250286
3500, 0.00000, 6,0.005212,1.645423, 0.680802, 2.331437,146.250286
3500, 0.00000, 6,0.005225,1.645487, 0.680817, 2.331528,146.250286
4000, 0.00000, 6,0.005445,2.575792, 0.886908, 3.468144,167.083500
4000, 0.00000, 6,0.005442,2.576318, 0.886778, 3.468538,167.083500
4000, 0.00000, 6,0.005443,2.576460, 0.886978, 3.468880,167.083500
6000, 0.00000, 6,0.006811,9.667789, 1.991006, 11.665606,250.416667
6000, 0.00000, 6,0.006829,9.665507, 1.992014, 11.664350,250.416667
6000, 0.00000, 6,0.006805,9.668758, 1.991304, 11.666868,250.416667
8000, 0.00000, 6,0.008460,24.073221, 3.536487, 27.618169,333.750125
8000, 0.00000, 6,0.008404,24.066415, 3.536036, 27.610855,333.750125
8000, 0.00000, 6,0.008423,24.058791, 3.535873, 27.603086,333.750125
10000, 0.00000, 6,0.010727,48.348000, 5.521778, 53.880504,417.083400
10000, 0.00000, 6,0.010739,48.343850, 5.524602, 53.879191,417.083400
10000, 0.00000, 6,0.010762,48.308536, 5.516716, 53.836014,417.083400
