N,Serial,N,CPU(8),N,CPU(16),N,V100,N,A(100),N,RTX,N,MI150
500,0.17,500,0.03,500,0.02,500,0.01,500,0.02,500,0.01,500,0.02
500,0.17,500,0.03,500,0.02,500,0.01,500,0.02,500,0.01,500,0.02
500,0.17,500,0.03,500,0.02,500,0.01,500,0.02,500,0.01,500,0.02
1000,1.34,1000,0.19,1000,0.12,1000,0.06,1000,0.06,1000,0.03,1000,0.06
1000,1.34,1000,0.19,1000,0.12,1000,0.06,1000,0.06,1000,0.03,1000,0.06
1000,1.34,1000,0.19,1000,0.12,1000,0.06,1000,0.06,1000,0.03,1000,0.06
2000,10.81,2000,1.43,2000,0.77,2000,0.41,2000,0.27,2000,0.34,2000,0.32
2000,10.86,2000,1.43,2000,0.77,2000,0.36,2000,0.2,2000,0.34,2000,0.32
2000,10.8,2000,1.43,2000,0.77,2000,0.35,2000,0.2,2000,0.34,2000,0.32
2500,23.15,2500,2.74,2500,1.46,4000,2.71,4000,1.51,4000,1.86,4000,2.38
2500,23.16,2500,2.74,2500,1.46,4000,2.71,4000,1.51,4000,1.86,4000,2.38
2500,23.16,2500,2.74,2500,1.47,4000,2.71,4000,1.51,4000,1.86,4000,2.38
3000,39.46,3000,4.68,3000,2.44,6000,9.11,6000,5.04,,,6000,7.96
3000,39.52,3000,4.68,3000,2.46,6000,9.09,6000,5.04,,,6000,7.96
3000,39.51,3000,4.68,3000,2.46,6000,9.08,6000,5.04,,,6000,7.96
3500,61.91,3500,7.37,3500,3.86,8000,21.51,8000,11.9,,,8000,18.77
3500,61.98,3500,7.37,3500,3.86,8000,21.55,8000,11.9,,,8000,18.77
3500,62.03,3500,7.37,3500,3.85,8000,21.56,8000,11.9,,,8000,18.77
4000,92.03,4000,10.98,4000,5.68,10000,42.07,10000,23.21,,,,
4000,92.15,4000,10.98,4000,5.68,10000,42.07,10000,23.21,,,,
4000,92.23,4000,10.98,4000,5.66,10000,42.07,10000,23.21,,,,
,,5000,21.23,5000,10.9,,,,,,,,
,,5000,21.21,5000,10.9,,,,,,,,
,,5000,21.23,5000,10.91,,,,,,,,
,,6000,37.19,6000,18.69,,,,,,,,
,,6000,37.19,6000,18.65,,,,,,,,
,,6000,37.18,6000,18.69,,,,,,,,
