N, Prob, K, t1, t2, t3, total_time, distance
5000, 0.00010, 6,0.005961,5.375873, 1.385732, 6.767566,183.469360
5000, 0.00010, 6,0.005959,5.375053, 1.385419, 6.766431,183.469360
5000, 0.00010, 6,0.005956,5.373873, 1.384909, 6.764738,183.469360
5000, 0.00500, 6,0.006009,5.373869, 1.386054, 6.765932,18.961986
5000, 0.00500, 6,0.005971,5.376023, 1.385408, 6.767402,18.961986
5000, 0.00500, 6,0.005990,5.374427, 1.385010, 6.765427,18.961986
5000, 0.01000, 6,0.005958,5.374580, 1.385526, 6.766065,13.203883
5000, 0.01000, 6,0.006044,5.374680, 1.385133, 6.765857,13.203883
5000, 0.01000, 6,0.005972,5.373903, 1.385037, 6.764912,13.203883
5000, 0.02000, 6,0.005865,5.374244, 1.385258, 6.765367,9.729991
5000, 0.02000, 6,0.005980,5.375145, 1.385266, 6.766391,9.729991
5000, 0.02000, 6,0.005965,5.376273, 1.385663, 6.767902,9.729991
5000, 0.05000, 6,0.005996,5.375421, 1.385363, 6.766781,7.167213
5000, 0.05000, 6,0.005966,5.375587, 1.385192, 6.766745,7.167213
5000, 0.05000, 6,0.005957,5.375089, 1.384915, 6.765960,7.167213
5000, 0.10000, 6,0.005963,5.374178, 1.384878, 6.765020,5.887547
5000, 0.10000, 6,0.005958,5.375506, 1.384819, 6.766283,5.887547
5000, 0.10000, 6,0.005973,5.375381, 1.385473, 6.766827,5.887547
